season,round,date,home_team,home_goals,away_goals,away_team,result,home_current_season_matches,away_current_season_matches,home_current_season_win_rate,away_current_season_win_rate,home_current_season_draw_rate,away_current_season_draw_rate,home_current_season_goal_difference,away_current_season_goal_difference,home_current_season_avg_goals_for,away_current_season_avg_goals_for,home_current_season_avg_goals_against,away_current_season_avg_goals_against,current_season_win_rate_edge,current_season_draw_rate_edge,current_season_goal_difference_edge,current_season_attack_edge,current_season_defense_edge
2025-26,League phase,2025-11-25,Napoli,2,0,Qarabağ,H,4.0,4.0,0.25,0.5,0.25,0.25,-5.0,1.0,1.0,2.0,2.25,1.75,-0.25,0.0,-6.0,-1.0,-0.5
2025-26,League phase,2025-11-25,Slavia Prague,0,0,Athletic Club,D,4.0,4.0,0.0,0.25,0.5,0.0,-6.0,-5.0,0.5,1.0,2.0,2.25,-0.25,0.5,-1.0,-0.5,0.25
2025-26,League phase,2025-11-26,Arsenal,3,1,Bayern Munich,H,4.0,4.0,1.0,1.0,0.0,0.0,11.0,11.0,2.75,3.5,0.0,0.75,0.0,0.0,0.0,-0.75,0.75
2025-26,League phase,2025-11-26,Atlético Madrid,2,1,Inter,H,4.0,4.0,0.5,1.0,0.0,0.0,1.0,10.0,2.5,2.75,2.25,0.25,-0.5,0.0,-9.0,-0.25,-2.0
2025-26,League phase,2025-11-26,FC Copenhagen,3,2,FC Kairat,H,4.0,4.0,0.0,0.0,0.25,0.25,-8.0,-9.0,1.0,0.5,3.0,2.75,0.0,0.0,1.0,0.5,-0.25
2025-26,League phase,2025-11-26,Frankfurt,0,3,Atalanta,A,4.0,4.0,0.25,0.5,0.25,0.25,-4.0,-2.0,1.75,0.75,2.75,1.25,-0.25,0.0,-2.0,1.0,-1.5
2025-26,League phase,2025-11-26,Liverpool,1,4,PSV,A,4.0,4.0,0.75,0.25,0.0,0.5,5.0,2.0,2.25,2.25,1.0,1.75,0.5,-0.5,3.0,0.0,0.75
2025-26,League phase,2025-11-26,Olympiacos,3,4,Real Madrid,A,4.0,4.0,0.0,0.75,0.5,0.0,-7.0,6.0,0.5,2.0,2.25,0.5,-0.75,0.5,-13.0,-1.5,-1.75
2025-26,League phase,2025-11-26,Pafos FC,2,2,Monaco,D,4.0,4.0,0.25,0.25,0.5,0.5,-3.0,-2.0,0.5,1.0,1.25,1.5,0.0,0.0,-1.0,-0.5,0.25
2025-26,League phase,2025-11-26,Paris SG,5,3,Tottenham,H,4.0,4.0,0.75,0.5,0.0,0.5,9.0,5.0,3.5,1.75,1.25,0.5,0.25,-0.5,4.0,1.75,-0.75
2025-26,League phase,2025-11-26,Sporting CP,3,0,Club Brugge,H,4.0,4.0,0.5,0.25,0.25,0.25,3.0,-2.0,2.0,2.0,1.25,2.5,0.25,0.0,5.0,0.0,1.25
2025-26,League phase,2025-12-09,Atalanta,2,1,Chelsea,H,5.0,5.0,0.6,0.6,0.2,0.2,1.0,6.0,1.2,2.4,1.0,1.2,0.0,0.0,-5.0,-1.2,0.19999999999999996
2025-26,League phase,2025-12-09,Barcelona,2,1,Frankfurt,H,5.0,5.0,0.4,0.2,0.2,0.2,2.0,-7.0,2.4,1.4,2.0,2.8,0.2,0.0,9.0,1.0,0.7999999999999998
2025-26,League phase,2025-12-09,Bayern Munich,3,1,Sporting CP,H,5.0,5.0,0.8,0.6,0.0,0.2,9.0,6.0,3.0,2.2,1.2,1.0,0.20000000000000007,-0.2,3.0,0.7999999999999998,-0.19999999999999996
2025-26,League phase,2025-12-09,FC Kairat,0,1,Olympiacos,A,5.0,5.0,0.0,0.0,0.2,0.4,-10.0,-8.0,0.8,1.0,2.8,2.6,0.0,-0.2,-2.0,-0.19999999999999996,-0.19999999999999973
2025-26,League phase,2025-12-09,Inter,0,1,Liverpool,A,5.0,5.0,0.8,0.6,0.0,0.0,9.0,2.0,2.4,2.0,0.6,1.6,0.20000000000000007,0.0,7.0,0.3999999999999999,1.0
2025-26,League phase,2025-12-09,Monaco,1,0,Galatasaray,H,5.0,5.0,0.2,0.6,0.6,0.0,-2.0,1.0,1.2,1.6,1.6,1.4,-0.39999999999999997,0.6,-3.0,-0.40000000000000013,-0.20000000000000018
2025-26,League phase,2025-12-09,PSV,2,3,Atlético Madrid,A,5.0,5.0,0.4,0.6,0.4,0.0,5.0,2.0,2.6,2.4,1.6,2.0,-0.19999999999999996,0.4,3.0,0.20000000000000018,0.3999999999999999
2025-26,League phase,2025-12-09,Tottenham,3,0,Slavia Prague,H,5.0,5.0,0.4,0.0,0.4,0.6,3.0,-6.0,2.0,0.4,1.4,1.6,0.4,-0.19999999999999996,9.0,1.6,0.20000000000000018
2025-26,League phase,2025-12-09,Union SG,2,3,Marseille,A,5.0,5.0,0.4,0.4,0.0,0.0,-7.0,2.0,1.0,1.6,2.4,1.2,0.0,0.0,-9.0,-0.6000000000000001,-1.2
2025-26,League phase,2025-12-10,Athletic Club,0,0,Paris SG,D,5.0,5.0,0.2,0.8,0.2,0.0,-5.0,11.0,0.8,3.8,1.8,1.6,-0.6000000000000001,0.2,-16.0,-3.0,-0.19999999999999996
2025-26,League phase,2025-12-10,Benfica,2,0,Napoli,H,5.0,5.0,0.2,0.4,0.0,0.2,-4.0,-3.0,0.8,1.2,1.6,1.8,-0.2,-0.2,-1.0,-0.3999999999999999,0.19999999999999996
2025-26,League phase,2025-12-10,Club Brugge,0,3,Arsenal,A,5.0,5.0,0.2,1.0,0.2,0.0,-5.0,13.0,1.6,2.8,2.6,0.2,-0.8,0.2,-18.0,-1.1999999999999997,-2.4
2025-26,League phase,2025-12-10,Dortmund,2,2,Bodø/Glimt,D,5.0,5.0,0.6,0.0,0.2,0.4,6.0,-4.0,3.4,1.4,2.2,2.2,0.6,-0.2,10.0,2.0,0.0
2025-26,League phase,2025-12-10,Juventus,2,0,Pafos FC,H,5.0,5.0,0.2,0.2,0.6,0.6,0.0,-3.0,2.0,0.8,2.0,1.4,0.0,0.0,3.0,1.2,-0.6000000000000001
2025-26,League phase,2025-12-10,Leverkusen,2,2,Newcastle,D,5.0,5.0,0.4,0.6,0.4,0.0,-2.0,7.0,1.6,2.2,2.0,0.8,-0.19999999999999996,0.4,-9.0,-0.6000000000000001,-1.2
